"new_id","structure_category","fatal_score","pop_score","fishing_score","rec_score","hazard_score","ph_tot_score"
156,"Diversion Dam",12,0.078252957233849,0,1,4,17.0782529572339
784,"Grade Control Structure",9,0.957233848953594,0,1,4,14.9572338489536
160,"Diversion Dam",6,0.723384895359418,0,0,4,10.7233848953594
18,"Diversion Dam",6,0.373976342129208,0,0,4,10.3739763421292
442,"Diversion Dam",3,0.719745222929936,1,0,4,8.71974522292994
893,"Grade Control Structure",6,0.150136487716106,0,1,1,8.15013648771611
58,"Diversion Dam",3,0.749772520473157,0,0,4,7.74977252047316
119,"Diversion Dam",0,0.882620564149227,1,1,4,6.88262056414923
349,"Diversion Dam",0,0.573248407643312,1,1,4,6.57324840764331
239,"Diversion Dam",0,0.202911737943585,1,1,4,6.20291173794359
354,"Diversion Dam",0,0.0245677888989991,1,1,4,6.024567788899
144,"Diversion Dam",0,0.923566878980892,0,1,4,5.92356687898089
145,"Diversion Dam",0,0.922656960873521,0,1,4,5.92265696087352
146,"Diversion Dam",0,0.909918107370337,0,1,4,5.90991810737034
791,"Grade Control Structure",0,0.905368516833485,1,0,4,5.90536851683349
792,"Grade Control Structure",0,0.904458598726115,1,0,4,5.90445859872611
34,"Diversion Dam",0,0.903548680618744,0,1,4,5.90354868061874
89,"Diversion Dam",0,0.880800727934486,0,1,4,5.88080072793449
88,"Diversion Dam",0,0.874431301182893,0,1,4,5.87443130118289
810,"Grade Control Structure",0,0.872611464968153,0,1,4,5.87261146496815
844,"Grade Control Structure",0,0.871701546860782,0,1,4,5.87170154686078
845,"Grade Control Structure",0,0.866242038216561,0,1,4,5.86624203821656
846,"Grade Control Structure",0,0.86533212010919,0,1,4,5.86533212010919
122,"Diversion Dam",0,0.855323020928116,0,1,4,5.85532302092812
101,"Diversion Dam",0,0.845313921747043,0,1,4,5.84531392174704
102,"Diversion Dam",0,0.842584167424932,0,1,4,5.84258416742493
106,"Diversion Dam",0,0.840764331210191,0,1,4,5.84076433121019
105,"Diversion Dam",0,0.816196542311192,0,1,4,5.81619654231119
832,"Grade Control Structure",0,0.814376706096451,0,1,4,5.81437670609645
833,"Grade Control Structure",0,0.813466787989081,0,1,4,5.81346678798908
793,"Grade Control Structure",0,0.793448589626934,0,1,4,5.79344858962693
77,"Diversion Dam",0,0.773430391264786,0,1,4,5.77343039126479
78,"Diversion Dam",0,0.772520473157416,0,1,4,5.77252047315742
879,"Grade Control Structure",0,0.770700636942675,1,0,4,5.77070063694268
61,"Diversion Dam",0,0.743403093721565,0,1,4,5.74340309372156
62,"Diversion Dam",0,0.742493175614195,0,1,4,5.74249317561419
63,"Diversion Dam",0,0.741583257506824,0,1,4,5.74158325750682
64,"Diversion Dam",0,0.737033666969973,0,1,4,5.73703366696997
42,"Diversion Dam",0,0.736123748862602,0,1,4,5.7361237488626
897,"Grade Control Structure",0,0.73066424021838,1,0,4,5.73066424021838
895,"Grade Control Structure",0,0.727934485896269,1,0,4,5.72793448589627
159,"Diversion Dam",0,0.725204731574158,1,0,4,5.72520473157416
427,"Diversion Dam",0,0.616924476797088,0,1,4,5.61692447679709
975,"Grade Control Structure",0,0.616014558689718,0,1,4,5.61601455868972
424,"Diversion Dam",0,0.595996360327571,0,1,4,5.59599636032757
429,"Diversion Dam",0,0.587807097361237,0,1,4,5.58780709736124
532,"Diversion Dam",0,0.56869881710646,0,1,4,5.56869881710646
431,"Diversion Dam",0,0.562329390354868,0,1,4,5.56232939035487
436,"Diversion Dam",0,0.54140127388535,0,1,4,5.54140127388535
438,"Diversion Dam",0,0.538671519563239,0,1,4,5.53867151956324
713,"Diversion Dam",0,0.509554140127389,0,1,4,5.50955414012739
712,"Diversion Dam",0,0.507734303912648,0,1,4,5.50773430391265
385,"Diversion Dam",0,0.494995450409463,0,1,4,5.49499545040946
751,"Diversion Dam",0,0.491355777979982,0,1,4,5.49135577797998
400,"Diversion Dam",0,0.484986351228389,0,1,4,5.48498635122839
425,"Diversion Dam",0,0.449499545040946,0,1,4,5.44949954504095
426,"Diversion Dam",0,0.436760691537762,0,1,4,5.43676069153776
254,"Diversion Dam",0,0.428571428571429,0,1,4,5.42857142857143
255,"Diversion Dam",0,0.425841674249318,0,1,4,5.42584167424932
43,"Diversion Dam",0,0.408553230209281,1,0,4,5.40855323020928
971,"Grade Control Structure",0,0.32393084622384,0,1,4,5.32393084622384
611,"Diversion Dam",0,0.316651501364877,0,1,4,5.31665150136488
421,"Diversion Dam",0,0.262966333030027,0,1,4,5.26296633303003
240,"Diversion Dam",0,0.24203821656051,1,0,4,5.24203821656051
372,"Diversion Dam",0,0.212010919017288,0,1,4,5.21201091901729
416,"Diversion Dam",0,0.154686078252957,0,1,4,5.15468607825296
218,"Diversion Dam",0,0.149226569608735,0,1,4,5.14922656960874
663,"Diversion Dam",0,0.140127388535032,0,1,4,5.14012738853503
219,"Diversion Dam",0,0.125568698817106,0,1,4,5.12556869881711
666,"Diversion Dam",0,0.123748862602366,0,1,4,5.12374886260237
220,"Diversion Dam",0,0.116469517743403,0,1,4,5.1164695177434
777,"Grade Control Structure",0,0.986351228389445,0,0,4,4.98635122838945
39,"Diversion Dam",0,0.985441310282075,0,0,4,4.98544131028207
862,"Grade Control Structure",0,0.979071883530482,0,0,4,4.97907188353048
128,"Diversion Dam",0,0.977252047315742,0,0,4,4.97725204731574
127,"Diversion Dam",0,0.975432211101001,0,0,4,4.975432211101
779,"Grade Control Structure",0,0.974522292993631,0,0,4,4.97452229299363
129,"Diversion Dam",0,0.969972702456779,0,0,4,4.96997270245678
